SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_EspressoCup,SM_Cup,8.998142,10.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,9.986217,False
SM_EspressoCup,SM_Cup,9.003822,10.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,9.986688,False
SM_EspressoCup,SM_Cup,8.995566,10.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,9.998096,False
SM_EspressoCup,SM_Cup,9.873898,10.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,9.969003,False
SM_EspressoCup,SM_Cup,10.310914,10.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,9.982221,False
SM_EspressoCup,SM_Cup,8.991923,10.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,9.981312,False
SM_EspressoCup,SM_Cup,10.231554,10.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,9.984148,False
SM_EspressoCup,SM_Cup,8.996943,10.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,9.974051,False
SM_EspressoCup,SM_Cup,9.065903,10.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,9.953746,False
SM_EspressoCup,SM_Cup,10.001633,10.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,10.028685,False
SM_EspressoCup,SM_Cup,5.994894,15.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,14.94508,False
SM_EspressoCup,SM_Cup,6.041177,15.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,14.893373,False
SM_EspressoCup,SM_Cup,5.990756,15.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,14.951418,False
SM_EspressoCup,SM_Cup,5.994093,15.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,14.958163,False
SM_EspressoCup,SM_Cup,6.018627,15.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,14.836999,False
SM_EspressoCup,SM_Cup,6.512851,15.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,14.882136,False
SM_EspressoCup,SM_Cup,6.05953,15.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,14.949772,False
SM_EspressoCup,SM_Cup,6.866211,15.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,14.976167,False
SM_EspressoCup,SM_Cup,7.01426,15.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,14.95617,False
SM_EspressoCup,SM_Cup,6.049968,15.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,14.9267,False
SM_EspressoCup,SM_Cup,5.561644,20.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,19.861223,False
SM_EspressoCup,SM_Cup,5.131701,20.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,19.826231,False
SM_EspressoCup,SM_Cup,6.036292,20.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,19.849407,False
SM_EspressoCup,SM_Cup,5.745919,20.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,19.8477,False
SM_EspressoCup,SM_Cup,4.50214,20.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,19.912001,False
SM_EspressoCup,SM_Cup,4.50233,20.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,19.811195,False
SM_EspressoCup,SM_Cup,4.551328,20.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,19.891905,False
SM_EspressoCup,SM_Cup,4.520318,20.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,19.952591,False
SM_EspressoCup,SM_Cup,4.508231,20.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,19.737082,False
SM_EspressoCup,SM_Cup,5.94267,20.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,19.881784,False
SM_EspressoCup,SM_Cup,4.549763,25.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,24.807873,False
SM_EspressoCup,SM_Cup,3.634605,25.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,24.928934,False
SM_EspressoCup,SM_Cup,3.604435,25.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,24.838442,False
SM_EspressoCup,SM_Cup,4.861956,25.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,24.796587,False
SM_EspressoCup,SM_Cup,3.603909,25.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,24.845156,False
SM_EspressoCup,SM_Cup,4.43625,25.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,24.602486,False
SM_EspressoCup,SM_Cup,4.236306,25.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,24.857376,False
SM_EspressoCup,SM_Cup,3.599814,25.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,24.91321,False
SM_EspressoCup,SM_Cup,3.590726,25.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,24.698479,False
SM_EspressoCup,SM_Cup,3.592576,25.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,24.887205,False
SM_EspressoCup,SM_Cup,2.996804,30.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,29.60677,False
SM_EspressoCup,SM_Cup,3.198894,30.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,29.73065,False
SM_EspressoCup,SM_Cup,2.995085,30.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,29.998791,False
SM_EspressoCup,SM_Cup,3.048853,30.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,29.455854,False
SM_EspressoCup,SM_Cup,2.990471,30.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,29.793642,False
SM_EspressoCup,SM_Cup,2.995998,30.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,29.782125,False
SM_EspressoCup,SM_Cup,4.08022,30.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,29.883947,False
SM_EspressoCup,SM_Cup,4.343569,30.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,29.72847,False
SM_EspressoCup,SM_Cup,4.044205,30.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,29.4645,False
SM_EspressoCup,SM_Cup,4.681644,30.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,29.909807,False
SM_EspressoCup,SM_Cup,2.582905,35.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,34.768639,False
SM_EspressoCup,SM_Cup,3.786332,35.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,34.76873,False
SM_EspressoCup,SM_Cup,2.562405,35.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,34.764946,False
SM_EspressoCup,SM_Cup,3.248272,35.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,34.711933,False
SM_EspressoCup,SM_Cup,3.410794,35.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,34.669834,False
SM_EspressoCup,SM_Cup,2.594614,35.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,34.838493,False
SM_EspressoCup,SM_Cup,2.56217,35.0,90.0,-0.4,-5.634459,57.0,-0.4,-0.04,47.5,30,0,34.500004,False
