10 KG Ketchup
Thumb - Intermediate:;0.000025;0.000047;0.000084;0.000129;0.000096;0.000083;0.000106;10407.236328;29285.533203;43603.230469;55096.03125;18735.992188;24740.984375;24333.554688;33120.070313;21368.056641;28695.949219;17099.34375;31087.572266;24191.109375;24047.486328;24904.857422;25724.498047;20820.927734;27157.693359;30186.544922;30662.796875;26008.865234;22630.333984;34624.789063;11692.133789;9904.886719;1785.528931;0.000093;0.000162;2320.324219
Thumb - Proximal:;0.000022;0.000359;0.000037;0.000061;0.000197;0.000125;0.000803;0.000044;49851.214844;85232.429688;120337.6875;81486.125;110461.023438;115777.398438;135379.328125;105555.640625;124955.242188;95626.3125;128719.875;114234.179688;118505.234375;102151.46875;109476.335938;95560.65625;115741.4375;110119.296875;115798.78125;109999.828125;93674.492188;122275.0625;51461.5625;54437.941406;12294.758789;0.000911;18674.355469;0.000356


GraspType:;LargeDiameter
Index - Distal:;0.000021;0.000087;79.08905;55.668617;145.408203;0.000717;601.8125;2028.497192;451.596741;656.225403;338.981415;369.36084;329.113312;312.600464;500.932465;378.836029;441.574036;496.50061;325.704102;350.885742;544.949646;419.860535;480.188354;439.783142;843.251404;296.162262;588.858887;1505.907715;1401.547729;698.062317;136.567566;89.375465;0.000087;0.000012
Index - Intermediate:;351.291168;87.694565;529.665466;961.981995;4468.370605;3417.910645;13736.310547;26198.105469;15804.820313;21407.816406;18117.738281;18372.275391;17625.587891;18379.220703;19888.205078;18572.503906;19359.261719;19686.285156;19195.972656;18389.201172;20390.046875;19279.732422;20534.144531;19370.449219;23492.277344;17732.054688;21236.125;15897.885742;16283.1875;1084.000854;19.619997;1035.494751;1614.15332;6.808526
Index - Proximal:;0.000174;0.0;0.000798;0.000684;7747.29248;3096.00708;24933.556641;40554.652344;20387.193359;32855.140625;23424.314453;25683.523438;23783.318359;23744.625;27834.728516;25693.369141;27729.392578;27214.390625;26959.667969;25085.652344;27661.482422;27101.722656;29390.816406;25387.357422;35962.699219;24301.673828;31665.945313;23613.699219;30942.193359;0.005927;0.000861;1149.168091;0.000173;0.000119
Middle - Distal:;0.000011;0.000044;61.673866;42.539272;606.669983;583.703918;347.846466;475.688751;1118.911133;2009.433228;1528.781616;1513.853394;1501.783569;1679.577515;1823.036865;1627.471313;1735.304199;1777.009155;1734.893311;1573.497192;2060.843994;1679.11499;1790.569702;1603.912109;2606.242188;1407.118286;2219.02002;1090.444946;1937.584595;54.226082;59.619095;0.000097;333.563477;0.000094
Middle - Intermediate:;93.530663;0.000005;0.00001;1153.443237;807.554199;1462.612183;13470.603516;16630.460938;9439.412109;15827.322266;12643.550781;12973.365234;12131.602539;12638.736328;14014.212891;12813.041016;13220.420898;13904.461914;12901.412109;12826.380859;14973.753906;13594.742188;14259.068359;13687.654297;17952.132813;12220.669922;15605.707031;7199.074707;7723.569824;1235.877197;41.721439;66.840965;2284.652588;694.212646
Middle - Proximal:;0.00006;0.000718;0.000041;3044.543213;3576.585449;753.26825;33429.765625;38652.464844;20292.789063;31952.539063;26075.953125;27450.259766;25280.525391;25608.066406;28280.640625;26735.902344;27108.384766;28189.394531;25776.367188;26943.585938;28410.726563;29066.382813;28460.083984;29427.738281;34179.925781;25678.923828;29977.207031;21670.783203;23688.328125;3899.766602;4977.820801;289.108276;0.000156;1905.575928
Ring - Distal:;0.000085;0.000174;0.000166;0.000096;858.446655;1096.590332;4582.013184;6573.895508;3235.011963;3664.776123;3026.976807;2939.490479;2883.358643;2963.290283;3208.284668;2990.902588;3041.125;3192.53833;3070.225342;3021.617676;3362.616211;3080.028564;3409.129883;3188.831787;3945.913086;2751.698486;3655.407959;1600.717529;1213.237793;29.914175;0.000316;0.000699;0.00036;0.000076
Ring - Intermediate:;28.297129;0.000358;0.000337;1097.121216;477.268677;1470.963501;9030.09082;15992.524414;3704.578613;8746.123047;7268.875977;7354.744629;6953.737305;6816.821777;7626.865234;7107.05957;7244.269531;7722.703125;6858.476074;7314.78125;7966.194336;7547.713867;7944.056152;7999.699219;9285.333984;6861.413574;8143.120117;4857.131836;4483.600586;364.475616;236.15097;358.607605;3525.964355;466.992249
Ring - Proximal:;447.528656;0.000717;0.001662;2735.519531;0.001573;480.661652;8475.438477;20371.837891;3523.176025;9703.746094;8762.761719;9419.046875;8370.106445;7728.007813;8715.46875;8594.260742;8394.188477;9011.360352;7322.790039;8953.366211;8315.021484;9886.40625;8616.261719;10807.075195;9599.512695;8738.408203;8029.715332;7994.446289;9888.332031;4090.193115;4754.693848;197.102951;10850.916016;1092.316406
Pinky - Distal:;0.000042;0.00009;63.887173;545.488159;1309.795532;1836.392822;2088.361328;3494.519043;1059.36853;2016.329468;1766.22644;1726.655273;1671.506836;1767.209229;1879.501343;1779.126831;1829.753052;1866.928345;1714.618164;1821.688965;1869.727173;1840.014771;1954.563721;1944.340088;2234.794434;1619.376587;2085.779297;1847.362671;1896.305298;124.4105;0.00001;0.000097;38.310726;0.000004
Pinky - Intermediate:;19.66197;0.000179;0.000166;180.336838;1701.838013;1878.883545;3768.316406;5927.206543;1425.575684;2693.50415;2123.485596;2051.672852;1973.354248;2008.066284;2211.766846;2033.621582;2066.859131;2245.447021;1867.057617;2152.307373;2333.546875;2130.262451;2274.108398;2405.510498;2740.689697;1896.47937;2455.316895;2785.606445;3054.56665;172.391983;137.102676;0.000179;1039.956543;181.25737
