
Pinky - Distal:;0.000021;38.976665;48.217003;0.000085;0.000011;0.000024;4.102149;29.393957;51.486019;869.008972;238.350357;4.963348;783.840759;466.073456;186.166443;0.000044;41.69075;89.483086;0.000254;0.000043;0.000021;48.519924;0.0;157.165741;0.000011;230.945877;0.000011;0.000015;0.00003;0.000044;0.000036;0.0;0.000024;0.000024;0.000015;0.000034;1.909098;0.000011;0.000052;0.000062;0.000024;77.000076;22.297237;0.000022;0.000026;0.000036;0.000022;0.0;234.459641;153.228485
Pinky - Intermediate:;0.000361;323.035278;152.337372;257.267517;0.000022;0.000019;0.000085;0.000088;155.183945;1164.553589;619.752747;448.723358;1714.836304;1030.324707;322.932312;79.785286;128.891327;25.884768;28.013668;0.000173;0.000021;78.780945;0.000045;155.242035;0.000047;112.153511;0.000087;0.000044;171.673615;7.244267;0.000031;15.569186;263.273285;0.000048;0.000061;136.418365;413.806671;0.0;0.000105;0.000171;351.59021;877.040894;217.411926;0.000024;154.469131;195.659348;0.00007;0.000188;95.32489;5.220451
Pinky - Proximal:;0.000085;0.000176;0.000096;0.000171;0.000011;0.000086;0.000765;0.00027;0.000242;0.000191;0.00017;0.00036;1180.028076;576.933655;35.577797;0.000172;0.000719;0.0;0.000042;0.000241;0.000084;0.000043;0.000179;0.000713;0.00038;0.000193;0.000691;0.000192;0.000383;0.000095;0.000022;0.000244;0.000086;0.000172;0.000086;0.000593;165.6147;0.000192;0.000766;0.000383;0.000172;536.589966;0.000212;0.000169;0.000086;0.000169;0.000087;0.000702;113.990822;0.003354
Thumb - Distal:;0.000021;0.000231;0.000048;0.000107;0.000021;0.000044;0.000016;0.000128;2586.886963;8862.868164;9775.624023;8744.958984;4465.95752;3849.373535;4123.113281;3011.266602;3393.673096;1709.661499;1220.53479;669.217468;1032.74231;1048.785156;2808.037109;3183.33374;3581.119629;2661.793945;2652.485352;3497.130371;3846.657959;2909.71582;3896.014648;4133.298828;2618.524414;2423.634033;5900.261719;983.085144;2404.593018;2164.59375;1350.413696;2929.685791;2584.819336;3577.281982;4022.337402;4026.510498;5106.902344;2200.577148;0.001441;444.921997;4.042445;1469.346924
Thumb - Intermediate:;0.000043;732.075256;0.000096;0.000085;0.000176;0.000089;0.000085;484.275574;11816.610352;31675.398438;27286.375;22743.466797;13347.942383;8558.9375;10813.890625;6980.272461;8974.06543;6080.909668;5143.960449;2119.086182;4056.923584;4041.960449;8872.654297;10072.163086;10577.188477;8454.273438;6698.123535;11241.192383;9738.680664;8198.386719;10392.378906;11730.082031;5583.858398;9005.43457;17363.857422;2495.874023;8561.027344;2873.698486;8483.21875;6705.688965;7572.547363;8889.973633;8674.220703;12225.851563;16277.765625;6870.179688;3552.243896;1404.015503;0.000433;10742.639648
Thumb - Proximal:;0.001559;0.001186;0.000242;0.000782;0.000535;0.000177;0.00034;0.000182;0.000278;36297.496094;29105.099609;20743.433594;12816.098633;13345.236328;15062.645508;11420.910156;13251.320313;14402.334961;8137.956055;11782.963867;9092.674805;9940.636719;16231.040039;15727.823242;16140.400391;14821.849609;9317.325195;17372.871094;9053.44043;10255.508789;9133.743164;16900.287109;2246.935791;19138.574219;17505.021484;7605.828125;12753.28125;0.002057;19774.460938;0.430487;3604.924316;4173.201172;5770.966797;13849.289063;13849.078125;6637.0625;7657.786133;0.0;0.002844;0.002766


ItemName:;SM_HelaCurryKetchup
GraspType:;FullGrasp
Status:;False


ItemName:;SM_Cup_Espresso
GraspType:;FullGrasp
Status:;False


ItemName:;SM_Cappuccino
GraspType:;FullGrasp
Status:;False


ItemName:;SM_Cappuccino
GraspType:;FullGrasp
Status:;False


ItemName:;SM_Cappuccino
GraspType:;FullGrasp
Status:;False

