SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_Cup,SM_Blue_Cup,2.550967,30.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,29.430054,True
SM_Cup,SM_Blue_Cup,1.648135,30.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,8,29.815159,True
SM_Cup,SM_Blue_Cup,2.648418,30.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,29.600382,True
SM_Cup,SM_Blue_Cup,2.41428,30.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,7,29.834078,True
SM_Cup,SM_Blue_Cup,2.082298,30.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,7,29.725245,True
SM_Cup,SM_Blue_Cup,0.820194,30.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,29.830713,True
SM_Cup,SM_Blue_Cup,1.769595,30.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,29.57398,True
SM_Cup,SM_Blue_Cup,2.377454,30.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,29.488571,True
SM_Cup,SM_Blue_Cup,2.511445,30.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,29.615683,True
SM_Cup,SM_Blue_Cup,1.753209,30.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,29.728439,True
SM_Cup,SM_Blue_Cup,2.376089,35.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,34.30032,True
SM_Cup,SM_Blue_Cup,1.783931,35.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,34.669132,True
SM_Cup,SM_Blue_Cup,2.447513,35.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,34.632717,True
SM_Cup,SM_Blue_Cup,2.076734,35.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,34.510147,True
SM_Cup,SM_Blue_Cup,2.430298,35.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,34.441563,True
SM_Cup,SM_Blue_Cup,2.204104,35.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,34.36338,True
SM_Cup,SM_Blue_Cup,2.480298,35.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,33.539829,True
SM_Cup,SM_Blue_Cup,2.212061,35.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,34.491417,True
SM_Cup,SM_Blue_Cup,2.473754,35.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,34.244835,True
SM_Cup,SM_Blue_Cup,2.064991,35.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,34.584698,True
SM_Cup,SM_Blue_Cup,1.74818,40.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,8,39.071587,True
SM_Cup,SM_Blue_Cup,2.380338,40.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,39.30249,True
SM_Cup,SM_Blue_Cup,2.510144,40.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,39.561409,True
SM_Cup,SM_Blue_Cup,2.25458,40.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,7,39.22422,True
SM_Cup,SM_Blue_Cup,1.806829,40.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,4,38.250381,True
SM_Cup,SM_Blue_Cup,2.233786,40.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,39.013725,True
SM_Cup,SM_Blue_Cup,2.486675,40.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,39.206921,True
SM_Cup,SM_Blue_Cup,2.384579,40.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,39.650158,True
SM_Cup,SM_Blue_Cup,2.027573,40.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,39.692177,True
SM_Cup,SM_Blue_Cup,2.13328,40.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,39.158707,True
SM_Cup,SM_Blue_Cup,1.911655,45.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,9,44.60976,True
SM_Cup,SM_Blue_Cup,2.332258,45.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,44.325951,True
