SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_Cup,SM_EspressoCup,0.0,55.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,53.942795,False
SM_Cup,SM_EspressoCup,0.0,60.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,59.508713,False
SM_Cup,SM_EspressoCup,0.356603,60.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,59.844814,False
SM_Cup,SM_EspressoCup,0.0,60.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,59.14502,False
SM_Cup,SM_EspressoCup,0.0,65.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,63.93037,False
SM_Cup,SM_EspressoCup,0.0,70.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,69.359718,False
SM_Cup,SM_EspressoCup,0.04165,70.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,70.405205,False
SM_Cup,SM_EspressoCup,0.0,70.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,68.333031,False
SM_Cup,SM_EspressoCup,0.0,70.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,69.298935,False
SM_Cup,SM_EspressoCup,0.0,70.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,69.446587,False
SM_Cup,SM_EspressoCup,0.603731,85.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,83.475777,False
SM_Cup,SM_EspressoCup,0.0,90.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,88.93708,False
SM_Cup,SM_EspressoCup,0.644354,90.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,90.468224,False
SM_Cup,SM_EspressoCup,0.0,90.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,88.396126,False
SM_Cup,SM_EspressoCup,0.177801,95.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,93.330956,False
SM_Cup,SM_EspressoCup,0.0,95.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,92.847359,False
SM_Cup,SM_EspressoCup,0.0,100.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,97.593834,False
SM_Cup,SM_EspressoCup,0.0,100.0,90.0,-0.4,-4.727894,55.5,-0.4,-0.04,46.0,15,0,97.056793,False
